Anno;CodGisa;Luogo;lat;long;Data;Ora inizio;Durata;Note
2020;2021_44;Acerra;40,926506;14,380875;30/07/2021;14;3 ore;
2023;2023_14;San Marcellino;40,98472;14,18250;14/07/2023;15;3 ore;
